DIP-250N|refseq:NP_499284|uniprotkb:P41958,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-66E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale),['Mitochondrion'],['Mitochondrion']
DIP-244N|refseq:NP_502538|uniprotkb:P42573,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),DIP-67E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale),,['Mitochondrion']
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40471E,dip-quality-status:,dip:0005(high throughput),,
DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5,DIP-26242N|refseq:NP_494487|uniprotkb:Q9BKP8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40402E,dip-quality-status:,dip:0005(high throughput),,
DIP-27301N|refseq:NP_495189|uniprotkb:Q9BIB5,DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40403E,dip-quality-status:,dip:0005(high throughput),,
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-24486N|refseq:NP_502126|uniprotkb:Q17433,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40405E,dip-quality-status:,dip:0005(high throughput),,
DIP-26036N|refseq:NP_509586|uniprotkb:P41941,DIP-24841N|refseq:NP_505800|uniprotkb:P54412,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40438E,dip-quality-status:,dip:0005(high throughput),['Golgi apparatus'],
DIP-27083N|refseq:NP_509562|uniprotkb:Q11073,DIP-24378N|refseq:NP_493624|uniprotkb:O62190,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40452E,dip-quality-status:,dip:0005(high throughput),,
DIP-24509N|refseq:NP_504409|uniprotkb:O16488,DIP-26846N|refseq:NP_491416|uniprotkb:O02056,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40433E,dip-quality-status:,dip:0005(high throughput),,
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-24509N|refseq:NP_504409|uniprotkb:O16488,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-40434E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput),,
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-24509N|refseq:NP_504409|uniprotkb:O16488,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40435E,dip-quality-status:,dip:0005(high throughput),,
