DIP-617N|refseq:NP_000607|uniprotkb:P01730,DIP-617N|refseq:NP_000607|uniprotkb:P01730,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0407(direct interaction)|MI:0407(direct interaction),DIP-42E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale),,
DIP-472N|refseq:NP_005047|uniprotkb:P29375,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-214E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale),['Nucleus'],['Nucleus']
DIP-425N|refseq:NP_005602|uniprotkb:Q08999,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-15E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-169N|refseq:NP_003137|uniprotkb:Q08945,DIP-953N|refseq:NP_003111|uniprotkb:P17947,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-77E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-952N|refseq:NP_004371|uniprotkb:Q92793,DIP-331N|uniprotkb:P36956,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-11E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale),"['Cytoplasm', 'Nucleus']","['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum', 'Golgi apparatus']"
DIP-74N|uniprotkb:P15923,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-14E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-704N|refseq:NP_002469|uniprotkb:P15172,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-43E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-90N|uniprotkb:P18428,DIP-1030N|refseq:NP_000582|uniprotkb:P08571,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-54E,dip-quality-status:core,dip:0002(small scale),['Cytoplasm'],['Golgi apparatus']
DIP-1043N|refseq:NP_000624|uniprotkb:P10415,DIP-1043N|refseq:NP_000624|uniprotkb:P10415,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-64E,dip-quality-status:core,dip:0002(small scale),"['Nucleus', 'Mitochondrion', 'Endoplasmic reticulum']","['Nucleus', 'Mitochondrion', 'Endoplasmic reticulum']"
DIP-285N|refseq:NP_003780|uniprotkb:Q15628,DIP-407N|uniprotkb:P19438,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-78E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale),"['Cytoplasm', 'Nucleus']",['Golgi apparatus']
DIP-229N|refseq:NP_795344|uniprotkb:P32239,DIP-403N|refseq:NP_000796|uniprotkb:P01350,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-95E,dip-quality-status:core,dip:0002(small scale),,
DIP-496N|refseq:NP_005635|uniprotkb:Q16514,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-148E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,DIP-435N|uniprotkb:Q16594,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-179E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-269N|uniprotkb:Q15572,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-181E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-36N|refseq:NP_612482|uniprotkb:P08047,DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-188E,dip-quality-status:core,dip:0002(small scale),"['Cytoplasm', 'Nucleus']",['Nucleus']
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403,DIP-150N|refseq:NP_003394|uniprotkb:P25490,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-189E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],['Nucleus']
DIP-36N|refseq:NP_612482|uniprotkb:P08047,DIP-150N|refseq:NP_003394|uniprotkb:P25490,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-198E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale),"['Cytoplasm', 'Nucleus']",['Nucleus']
DIP-582N|refseq:NP_000312|uniprotkb:P06400,DIP-185N|refseq:NP_758961|uniprotkb:P32519,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-210E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale),['Nucleus'],['Nucleus']
