ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-768N|refseq:NP_190150|uniprotkb:Q39023,DIP-153N|uniprotkb:P25323,taxid:3702(Arabidopsis thaliana),taxid:44689(Dictyostelium discoideum),MI:0218(physical interaction),DIP-24E,dip-quality-status:core,dip:0002(small scale)
DIP-752N|refseq:NP_196014|uniprotkb:P37107,DIP-62N|uniprotkb:P36438,taxid:3702(Arabidopsis thaliana),taxid:3711(Brassica rapa),MI:0218(physical interaction),DIP-33E,dip-quality-status:core,dip:0002(small scale)
DIP-29658N|refseq:NP_197747.1|uniprotkb:Q9LDX1,DIP-29659N|uniprotkb:Q764F6,taxid:3702(Arabidopsis thaliana),taxid:10832(Tomato yellow leaf curl virus),MI:0407(direct interaction),DIP-59145E,dip-quality-status:core,dip:0002(small scale)
DIP-29700N|refseq:NP_974612|uniprotkb:Q6TLJ2,DIP-29701N|refseq:NP_196345|uniprotkb:Q9LYN8,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction),DIP-59178E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-29773N|refseq:NP_196119|uniprotkb:Q38906,DIP-29773N|refseq:NP_196119|uniprotkb:Q38906,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0407(direct interaction),DIP-59260E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-29818N|refseq:Q38919|uniprotkb:Q38919,DIP-29817N|uniprotkb:Q8SAB7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0915(physical association),DIP-59305E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-29825N|uniprotkb:Q5S2C4,DIP-29817N|uniprotkb:Q8SAB7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-59307E,dip-quality-status:core,dip:0002(small scale)
DIP-29817N|uniprotkb:Q8SAB7,DIP-29819N|refseq:Q38902|uniprotkb:Q38902,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-59308E,dip-quality-status:core,dip:0002(small scale)
DIP-29820N|refseq:Q38937|uniprotkb:Q38937,DIP-29817N|uniprotkb:Q8SAB7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-59309E,dip-quality-status:core,dip:0002(small scale)
DIP-29821N|refseq:Q9SBJ6|uniprotkb:Q9SBJ6,DIP-29817N|uniprotkb:Q8SAB7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-59310E,dip-quality-status:core,dip:0002(small scale)
DIP-29823N|refseq:Q9SU67|uniprotkb:Q9SU67,DIP-29817N|uniprotkb:Q8SAB7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-59311E,dip-quality-status:core,dip:0002(small scale)
DIP-29970N|refseq:NP_566689,DIP-29967N|uniprotkb:P02687,taxid:3702(Arabidopsis thaliana),taxid:9913(Bos taurus),MI:0407(direct interaction),DIP-59478E,dip-quality-status:core,dip:0002(small scale)
DIP-29818N|refseq:Q38919|uniprotkb:Q38919,DIP-29824N|refseq:Q5S2C3|uniprotkb:Q5S2C3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-59490E,dip-quality-status:core,dip:0002(small scale)
DIP-29819N|refseq:Q38902|uniprotkb:Q38902,DIP-29824N|refseq:Q5S2C3|uniprotkb:Q5S2C3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-59491E,dip-quality-status:core,dip:0002(small scale)
DIP-29820N|refseq:Q38937|uniprotkb:Q38937,DIP-29824N|refseq:Q5S2C3|uniprotkb:Q5S2C3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-59492E,dip-quality-status:core,dip:0002(small scale)
DIP-29822N|refseq:Q38912|uniprotkb:Q38912,DIP-29824N|refseq:Q5S2C3|uniprotkb:Q5S2C3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-59493E,dip-quality-status:core,dip:0002(small scale)
DIP-31324N|refseq:NP_565919|uniprotkb:O04197,DIP-31325N|refseq:NP_565123|uniprotkb:Q39255,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction),DIP-60868E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-31741N|refseq:NP_171920|uniprotkb:Q38822,DIP-31740N|refseq:NP_567135|uniprotkb:Q570C0,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-61290E,dip-quality-status:core,dip:0004(small scale)
DIP-31740N|refseq:NP_567135|uniprotkb:Q570C0,DIP-31325N|refseq:NP_565123|uniprotkb:Q39255,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),DIP-61898E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-33896N|refseq:NP_200946|uniprotkb:Q9LKL2,DIP-32989N|refseq:NP_568855|uniprotkb:Q94BT6,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-62630E,dip-quality-status:core,dip:0004(small scale)
DIP-33345N|refseq:NP_188945|uniprotkb:Q38825,DIP-34608N|refseq:NP_566800|uniprotkb:Q9LW29,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-63235E,dip-quality-status:core,dip:0004(small scale)
DIP-34607N|refseq:NP_567255|uniprotkb:Q9ZR12,DIP-33345N|refseq:NP_188945|uniprotkb:Q38825,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-63237E,dip-quality-status:core,dip:0004(small scale)
DIP-34745N|refseq:NP_198391|uniprotkb:Q9LDI3,DIP-34746N|refseq:NP_197815|uniprotkb:O81223,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-63356E,dip-quality-status:core,dip:0004(small scale)
DIP-31742N|refseq:NP_179469|uniprotkb:P14713,DIP-33892N|uniprotkb:O80536,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),DIP-63242E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-31329N|refseq:NP_565597|uniprotkb:Q9SKK0,DIP-34865N|refseq:NP_188713|uniprotkb:O24606,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association),DIP-63521E,dip-quality-status:core,dip:0004(small scale)
DIP-36763N|refseq:NP_567533|uniprotkb:O81445,DIP-36761N|uniprotkb:Q93VD3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-65283E,dip-quality-status:core,dip:0004(small scale)
DIP-36762N|refseq:NP_180233|uniprotkb:Q38998,DIP-36761N|uniprotkb:Q93VD3,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0217(phosphorylation reaction),DIP-65282E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-36761N|uniprotkb:Q93VD3,DIP-32474N|refseq:NP_200410|uniprotkb:Q8LAS7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-65284E,dip-quality-status:core,dip:0004(small scale)
DIP-36761N|uniprotkb:Q93VD3,DIP-33307N|uniprotkb:Q8LEM7,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-65285E,dip-quality-status:core,dip:0004(small scale)
DIP-35025N|uniprotkb:O04719,DIP-37456N|refseq:NP_192311|uniprotkb:O81439,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction),DIP-65434E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-36761N|uniprotkb:Q93VD3,DIP-33308N|refseq:NP_199521|uniprotkb:Q9LTB8,taxid:3702(Arabidopsis thaliana),taxid:3702(Arabidopsis thaliana),MI:0407(direct interaction),DIP-65281E,dip-quality-status:core,dip:0004(small scale)
