ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-1025N|refseq:NP_414574|uniprotkb:P00968,DIP-1026N|refseq:NP_285726|uniprotkb:P00907,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0254(genetic interference)|MI:0914(association)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction),DIP-61E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-1081N|uniprotkb:P04273,DIP-339N|refseq:NP_313151|uniprotkb:P0A6F5,taxid:10036(Mesocricetus auratus),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-58E,dip-quality-status:core,dip:0002(small scale)
DIP-508N|refseq:NP_290668|uniprotkb:P02928,DIP-539N|refseq:NP_290666|uniprotkb:P07622,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0254(genetic interference),DIP-62E,dip-quality-status:core,dip:0002(small scale)
DIP-726N|uniprotkb:P0A8P6,DIP-124N|refseq:NP_417370|uniprotkb:P21891,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0407(direct interaction),DIP-169E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-366N|refseq:NP_416120|uniprotkb:P07001,DIP-367N|refseq:NP_288037|uniprotkb:P0AB67,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0407(direct interaction),DIP-208E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-572N|refseq:NP_040618|uniprotkb:P03702,DIP-342N|refseq:NP_414931|uniprotkb:P13458,taxid:10710(phage lambda),taxid:83333(Escherichia coli K12),MI:0254(genetic interference),DIP-263E,dip-quality-status:core,dip:0002(small scale)
DIP-540N|refseq:NP_417297|uniprotkb:P08394,DIP-572N|refseq:NP_040618|uniprotkb:P03702,taxid:83333(Escherichia coli K12),taxid:10710(phage lambda),MI:0254(genetic interference),DIP-269E,dip-quality-status:core,dip:0002(small scale)
DIP-540N|refseq:NP_417297|uniprotkb:P08394,DIP-583N|refseq:NP_059594|uniprotkb:P11191,taxid:83333(Escherichia coli K12),taxid:10754(phage P22),MI:0254(genetic interference),DIP-270E,dip-quality-status:core,dip:0002(small scale)
DIP-341N|refseq:NP_286213|uniprotkb:P0A7H6,DIP-340N|refseq:NP_289122|uniprotkb:P15027,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0218(physical interaction),DIP-326E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-364N|refseq:NP_313068|uniprotkb:P02339,DIP-340N|refseq:NP_289122|uniprotkb:P15027,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0407(direct interaction),DIP-327E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-408N|uniprotkb:P0ABZ1,DIP-401N|uniprotkb:P25798,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-451E,dip-quality-status:core,dip:0002(small scale)
DIP-619N|refseq:NP_287482|uniprotkb:P09120,DIP-408N|uniprotkb:P0ABZ1,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-452E,dip-quality-status:core,dip:0002(small scale)
DIP-1100N|refseq:NP_416455|uniprotkb:P06974,DIP-1101N|refseq:NP_416456|uniprotkb:P15070,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-454E,dip-quality-status:core,dip:0002(small scale)
DIP-564N|refseq:NP_290373|uniprotkb:P00822,DIP-565N|refseq:NP_290371|uniprotkb:P00824,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0914(association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction),DIP-455E,dip-quality-status:core,dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-567N|refseq:NP_418187|uniprotkb:P00832,DIP-568N|refseq:NP_290372|uniprotkb:P00837,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association),DIP-456E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)
DIP-566N|refseq:NP_290374|uniprotkb:P00831,DIP-564N|refseq:NP_290373|uniprotkb:P00822,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction),DIP-457E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-565N|refseq:NP_290371|uniprotkb:P00824,DIP-566N|refseq:NP_290374|uniprotkb:P00831,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction),DIP-458E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-566N|refseq:NP_290374|uniprotkb:P00831,DIP-568N|refseq:NP_290372|uniprotkb:P00837,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0218(physical interaction),DIP-459E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-567N|refseq:NP_418187|uniprotkb:P00832,DIP-566N|refseq:NP_290374|uniprotkb:P00831,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-460E,dip-quality-status:core,dip:0002(small scale)
DIP-1100N|refseq:NP_416455|uniprotkb:P06974,DIP-1100N|refseq:NP_416455|uniprotkb:P06974,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-453E,dip-quality-status:core,dip:0002(small scale)
DIP-1100N|refseq:NP_416455|uniprotkb:P06974,DIP-408N|uniprotkb:P0ABZ1,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-450E,dip-quality-status:core,dip:0002(small scale)
DIP-579N|refseq:NP_285717|uniprotkb:P02378,DIP-154N|refseq:NP_415220|uniprotkb:P24169,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-734E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-581N|refseq:NP_290336|uniprotkb:P0A7P5,DIP-154N|refseq:NP_415220|uniprotkb:P24169,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-735E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-614N|refseq:NP_290333|uniprotkb:P03016,DIP-340N|refseq:NP_289122|uniprotkb:P15027,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-809E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-479N|refseq:NP_290677|uniprotkb:P03033,DIP-479N|refseq:NP_290677|uniprotkb:P03033,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0407(direct interaction)|MI:0218(physical interaction),DIP-1002E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-513N|refseq:NP_417231|uniprotkb:P23845,DIP-360N|refseq:NP_417232|uniprotkb:P21156,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0915(physical association)|MI:0218(physical interaction),DIP-1124E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-556N|refseq:NP_417069|uniprotkb:P10902,DIP-1027N|refseq:NP_415271|uniprotkb:P11458,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-1125E,dip-quality-status:core,dip:0002(small scale)
DIP-362N|refseq:NP_285816|uniprotkb:P09159,DIP-362N|refseq:NP_285816|uniprotkb:P09159,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-1133E,dip-quality-status:core,dip:0002(small scale)
DIP-1028N|refseq:NP_286445|uniprotkb:P07459,DIP-1028N|refseq:NP_286445|uniprotkb:P07459,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-1135E,dip-quality-status:core,dip:0002(small scale)
DIP-1029N|refseq:NP_286444|uniprotkb:P07460,DIP-1029N|refseq:NP_286444|uniprotkb:P07460,taxid:83333(Escherichia coli K12),taxid:83333(Escherichia coli K12),MI:0218(physical interaction),DIP-1136E,dip-quality-status:core,dip:0002(small scale)
