ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-617N|refseq:NP_000607|uniprotkb:P01730,DIP-617N|refseq:NP_000607|uniprotkb:P01730,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0407(direct interaction)|MI:0407(direct interaction),DIP-42E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)
DIP-493N|uniprotkb:Q62311,DIP-147N|uniprotkb:P21675,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-172E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-472N|refseq:NP_005047|uniprotkb:P29375,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),DIP-214E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-1078N|refseq:NP_003185|uniprotkb:P20226,DIP-51N|uniprotkb:P09086,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-320E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-189N|refseq:NP_005179|uniprotkb:P22681,DIP-199N|refseq:refseq|uniprotkb:P46108,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-401E,dip-quality-status:core,dip:0002(small scale)
DIP-119N|uniprotkb:P27986,DIP-480N|uniprotkb:P06213,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-447E,dip-quality-status:core,dip:0002(small scale)
DIP-743N|uniprotkb:P31946,DIP-1048N|refseq:NP_002871|uniprotkb:P04049,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-479E,dip-quality-status:core,dip:0002(small scale)
DIP-425N|refseq:NP_005602|uniprotkb:Q08999,DIP-704N|refseq:NP_002469|uniprotkb:P15172,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-15E,dip-quality-status:core,dip:0002(small scale)
DIP-400N,DIP-391N|uniprotkb:P48061,taxid:9606(Homo sapiens),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-72E,dip-quality-status:core,dip:0002(small scale)
DIP-53N|refseq:NP_057869|uniprotkb:P17095,DIP-953N|refseq:NP_003111|uniprotkb:P17947,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-76E,dip-quality-status:core,dip:0002(small scale)
