ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-445N|uniprotkb:P46414,DIP-559N,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-21E,dip-quality-status:core,dip:0002(small scale)
DIP-493N|uniprotkb:Q62311,DIP-147N|uniprotkb:P21675,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-172E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-53N|refseq:NP_057869|uniprotkb:P17095,DIP-953N|refseq:NP_003111|uniprotkb:P17947,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-76E,dip-quality-status:core,dip:0002(small scale)
DIP-445N|uniprotkb:P46414,DIP-497N|uniprotkb:P43063,taxid:10090(Mus musculus),taxid:5476(Candida albicans),MI:0218(physical interaction),DIP-22E,dip-quality-status:core,dip:0002(small scale)
DIP-1084N|uniprotkb:P03995,DIP-1081N|uniprotkb:P04273,taxid:10090(Mus musculus),taxid:10036(Mesocricetus auratus),MI:0218(physical interaction),DIP-55E,dip-quality-status:core,dip:0002(small scale)
DIP-1065N|refseq:NP_033871|uniprotkb:P10417,DIP-4N|refseq:NP_035300|uniprotkb:P04925,taxid:10090(Mus musculus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-56E,dip-quality-status:core,dip:0002(small scale)
DIP-468N|uniprotkb:P39429,DIP-407N|uniprotkb:P19438,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-79E,dip-quality-status:core,dip:0002(small scale)
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-483N|uniprotkb:P01579,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-89E,dip-quality-status:core,dip:0002(small scale)
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-175N|uniprotkb:P29466,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-90E,dip-quality-status:core,dip:0002(small scale)
DIP-268N|refseq:NP_004337|uniprotkb:P42574,DIP-950N|refseq:NP_032386|uniprotkb:P70380,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-91E,dip-quality-status:core,dip:0002(small scale)
