ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-383N|refseq:NP_001094|uniprotkb:P35609,DIP-674N|refseq:NP_058706|uniprotkb:P35439,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-30E,dip-quality-status:core,dip:0002(small scale)
DIP-403N|refseq:NP_000796|uniprotkb:P01350,DIP-664N|refseq:NP_037101|uniprotkb:P35570,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-96E,dip-quality-status:core,dip:0002(small scale)
DIP-267N|refseq:NP_446309|uniprotkb:Q62622,DIP-22N|refseq:NP_001959|uniprotkb:P06730,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-114E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-473N|uniprotkb:Q63755,DIP-582N|refseq:NP_000312|uniprotkb:P06400,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-216E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-604N|uniprotkb:P29387,DIP-164N|refseq:NP_112269|uniprotkb:P26769,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-262E,dip-quality-status:core,dip:0002(small scale)
DIP-138N|refseq:XP_217250|uniprotkb:P09759,DIP-259N|refseq:NP_032189|uniprotkb:Q60631,taxid:10116(Rattus norvegicus),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-293E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-446N|refseq:NP_034475|uniprotkb:Q60760,DIP-138N|refseq:XP_217250|uniprotkb:P09759,taxid:10090(Mus musculus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-294E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)
DIP-666N,DIP-138N|refseq:XP_217250|uniprotkb:P09759,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-296E,dip-quality-status:core,dip:0002(small scale)
DIP-464N|refseq:NP_058785|uniprotkb:Q6P7B6,DIP-138N|refseq:XP_217250|uniprotkb:P09759,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-297E,dip-quality-status:core,dip:0002(small scale)
DIP-1031N|refseq:NP_036805|uniprotkb:P01830,DIP-118N|uniprotkb:P70304,taxid:10116(Rattus norvegicus),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-310E,dip-quality-status:core,dip:0002(small scale)
DIP-108N|refseq:NP_446240|uniprotkb:P32851,DIP-108N|refseq:NP_446240|uniprotkb:P32851,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0407(direct interaction),DIP-418E,dip-quality-status:core,dip:0002(small scale)|dip:0004(small scale)
DIP-373N|refseq:NP_112387|uniprotkb:Q08850,DIP-373N|refseq:NP_112387|uniprotkb:Q08850,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-419E,dip-quality-status:core,dip:0002(small scale)
DIP-108N|refseq:NP_446240|uniprotkb:P32851,DIP-766N|uniprotkb:P61765,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association),DIP-421E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)
DIP-766N|uniprotkb:P61765,DIP-347N|uniprotkb:P50279,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-422E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-358N|refseq:NP_112386|uniprotkb:O70441,DIP-766N|uniprotkb:P61765,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-423E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-289N|refseq:NP_112388|uniprotkb:Q62753,DIP-108N|refseq:NP_446240|uniprotkb:P32851,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-424E,dip-quality-status:core,dip:0002(small scale)
DIP-347N|uniprotkb:P50279,DIP-289N|refseq:NP_112388|uniprotkb:Q62753,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-425E,dip-quality-status:core,dip:0002(small scale)
DIP-289N|refseq:NP_112388|uniprotkb:Q62753,DIP-358N|refseq:NP_112386|uniprotkb:O70441,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-426E,dip-quality-status:core,dip:0002(small scale)
DIP-485N|refseq:NP_037304|uniprotkb:P19335,DIP-74N|uniprotkb:P15923,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-441E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-74N|uniprotkb:P15923,DIP-52N|uniprotkb:P20428,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-442E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-476N|refseq:NP_000866|uniprotkb:P08069,DIP-664N|refseq:NP_037101|uniprotkb:P35570,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-445E,dip-quality-status:core,dip:0002(small scale)
DIP-299N|refseq:NP_037184|uniprotkb:P68511,DIP-1045N|refseq:NP_004324|uniprotkb:P15056,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-461E,dip-quality-status:core,dip:0002(small scale)
DIP-947N|refseq:NP_037185|uniprotkb:P68255,DIP-1045N|refseq:NP_004324|uniprotkb:P15056,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-462E,dip-quality-status:core,dip:0002(small scale)
DIP-488N|refseq:NP_037143|uniprotkb:P63102,DIP-1045N|refseq:NP_004324|uniprotkb:P15056,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-463E,dip-quality-status:core,dip:0002(small scale)
DIP-1048N|refseq:NP_002871|uniprotkb:P04049,DIP-299N|refseq:NP_037184|uniprotkb:P68511,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-464E,dip-quality-status:core,dip:0002(small scale)
DIP-1048N|refseq:NP_002871|uniprotkb:P04049,DIP-947N|refseq:NP_037185|uniprotkb:P68255,taxid:9606(Homo sapiens),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-465E,dip-quality-status:core,dip:0002(small scale)
DIP-488N|refseq:NP_037143|uniprotkb:P63102,DIP-1048N|refseq:NP_002871|uniprotkb:P04049,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-469E,dip-quality-status:core,dip:0002(small scale)
DIP-516N|uniprotkb:Q06124,DIP-502N|uniprotkb:Q14451,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-481E,dip-quality-status:core,dip:0002(small scale)
DIP-138N|refseq:XP_217250|uniprotkb:P09759,DIP-29229N|uniprotkb:P62993,taxid:10116(Rattus norvegicus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-295E,dip-quality-status:core,dip:0002(small scale)
DIP-267N|refseq:NP_446309|uniprotkb:Q62622,DIP-487N|refseq:NP_059043|uniprotkb:P21708,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-112E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)
DIP-1N|refseq:NP_113971|uniprotkb:P19527,DIP-1N|refseq:NP_113971|uniprotkb:P19527,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-508E,dip-quality-status:core,dip:0002(small scale)
DIP-208N|uniprotkb:P12839,DIP-1N|refseq:NP_113971|uniprotkb:P19527,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-509E,dip-quality-status:core,dip:0002(small scale)
DIP-105N|refseq:NP_036739|uniprotkb:P16884,DIP-1N|refseq:NP_113971|uniprotkb:P19527,taxid:10116(Rattus norvegicus),taxid:10116(Rattus norvegicus),MI:0218(physical interaction),DIP-510E,dip-quality-status:core,dip:0002(small scale)
