Entry	Status	Organism	Subcellular location [CC]
Q8RW96	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19672620, ECO:0000269|PubMed:21571669, ECO:0000269|PubMed:25307043, ECO:0000269|PubMed:26517938}. Nucleus {ECO:0000269|PubMed:19672620}.
Q8LF36	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25489022, ECO:0000269|PubMed:26517938}. Peroxisome {ECO:0000269|PubMed:19672620, ECO:0000269|PubMed:25489022}.
Q38821	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
O04529	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12805588}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:12805588}; Extracellular side {ECO:0000305}.
P15460	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9LR73	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q949M8	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Q9S777	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q00762	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8W471	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast {ECO:0000305}.
Q39134	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15361541}. Nucleus membrane {ECO:0000269|PubMed:15361541}. Endomembrane system {ECO:0000269|PubMed:15361541}. Note=Not found in vacuole membrane.
P46646	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P46248	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Plastid, chloroplast. Plastid, amyloplast {ECO:0000303|PubMed:9535706}.
Q9FN78	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q8GW96	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
B7U179	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18818695}.
P93821	reviewed	Arabidopsis thaliana (Mouse-ear cress)	
Q9SWS1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9FHP1	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Nucleus {ECO:0000303|PubMed:12481063}.
Q9LX29	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endosome, multivesicular body membrane; Single-pass type I membrane protein. Note=Also localized into protein export bodies. Internalization may be involved in degradation of ACR4 for its rapid turn-over. In the epidermis, mostly expressed in the lateral and basal planes of cells.
P53497	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q9LH82	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
F4KID5	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.
Q9C8K2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15499022}; Multi-pass membrane protein {ECO:0000269|PubMed:15499022}.
Q9C7F2	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q7FB56	reviewed	Arabidopsis thaliana (Mouse-ear cress)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
