Entry	Status	Organism	Subcellular location [CC]
P67662	reviewed	Escherichia coli (strain K12)	
P0AE06	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303, ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}. Note=An unlipidated version of this protein (directed to the periplasm by the OmpA signal sequence) functions normally.
P31224	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}; Multi-pass membrane protein {ECO:0000269|PubMed:15228545, ECO:0000269|PubMed:16079137}.
P76052	reviewed	Escherichia coli (strain K12)	
P77580	reviewed	Escherichia coli (strain K12)	
P24224	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AC28	reviewed	Escherichia coli (strain K12)	
P11071	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P36683	reviewed	Escherichia coli (strain K12)	
P0A6A8	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P0ACS9	reviewed	Escherichia coli (strain K12)	
P27550	reviewed	Escherichia coli (strain K12)	
P26646	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P0AB65	reviewed	Escherichia coli (strain K12)	
P46854	reviewed	Escherichia coli (strain K12)	
P21515	reviewed	Escherichia coli (strain K12)	
P76491	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01100}.
P24182	reviewed	Escherichia coli (strain K12)	
P05100	reviewed	Escherichia coli (strain K12)	
P04395	reviewed	Escherichia coli (strain K12)	
P30871	reviewed	Escherichia coli (strain K12)	
P0A9G6	reviewed	Escherichia coli (strain K12)	
P00350	reviewed	Escherichia coli (strain K12)	
P46481	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P46478	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01546}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01546}.
P46133	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P52697	reviewed	Escherichia coli (strain K12)	
P00509	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P77674	reviewed	Escherichia coli (strain K12)	
P77357	reviewed	Escherichia coli (strain K12)	
P75747	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P0CK95	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}.
P25516	reviewed	Escherichia coli (strain K12)	
P37623	reviewed	Escherichia coli (strain K12)	
P24177	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}.
P37686	reviewed	Escherichia coli (strain K12)	
P37127	reviewed	Escherichia coli (strain K12)	
P33234	reviewed	Escherichia coli (strain K12)	
P60061	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P77434	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P0A991	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
P32705	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:16079137}; Multi-pass membrane protein {ECO:0000269|PubMed:16079137}.
P31440	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:24214977}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:24214977}.
P23872	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9576853}.
P75681	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein. Note=Upon overexpression (PubMed:15919996). {ECO:0000269|PubMed:15919996}.
P45565	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Periplasm {ECO:0000250}.
P0ABD5	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P0A9Q5	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P0A9Q7	reviewed	Escherichia coli (strain K12)	
P39451	reviewed	Escherichia coli (strain K12)	
P24180	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:11274125}; Lipid-anchor {ECO:0000305|PubMed:11274125}.
P06134	reviewed	Escherichia coli (strain K12)	
P42912	reviewed	Escherichia coli (strain K12)	
P77744	reviewed	Escherichia coli (strain K12)	
P0AE08	reviewed	Escherichia coli (strain K12)	
P35340	reviewed	Escherichia coli (strain K12)	
P46482	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01544}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01544}.
P31119	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0A6A3	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm.
P76518	reviewed	Escherichia coli (strain K12)	
P24181	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:11274125, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:11274125, ECO:0000269|PubMed:15919996}.
P0AAW9	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}. Note=In sucrose cushions fractionates with both the inner and outer membranes.
P22333	reviewed	Escherichia coli (strain K12)	
Q93K97	reviewed	Escherichia coli (strain K12)	
P76261	reviewed	Escherichia coli (strain K12)	
P51981	reviewed	Escherichia coli (strain K12)	
P39180	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Antigen 43: Periplasm {ECO:0000250}.; SUBCELLULAR LOCATION: Antigen 43 alpha chain: Secreted. Cell surface {ECO:0000269|PubMed:22466966}. Note=The cell surface component is about 60 kDa and can be released by mild heat treatment (PubMed:22466966).; SUBCELLULAR LOCATION: Antigen 43 beta chain: Cell outer membrane {ECO:0000305|PubMed:25341963}; Multi-pass membrane protein {ECO:0000305}. Note=May form a beta-barrel.
P06720	reviewed	Escherichia coli (strain K12)	
P05050	reviewed	Escherichia coli (strain K12)	
P0A955	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P00562	reviewed	Escherichia coli (strain K12)	
P75712	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.
P0A6B4	reviewed	Escherichia coli (strain K12)	
P32721	reviewed	Escherichia coli (strain K12)	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
