ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-250N|refseq:NP_499284|uniprotkb:P41958,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association),DIP-66E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-244N|refseq:NP_502538|uniprotkb:P42573,DIP-1016N|refseq:NP_498007|uniprotkb:P30429,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association),DIP-67E,dip-quality-status:core,dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)
DIP-1014N|uniprotkb:P24348,DIP-926N|refseq:NP_508145|uniprotkb:Q19019,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-87E,dip-quality-status:core,dip:0002(small scale)
DIP-24676N|refseq:NP_491709|uniprotkb:O01497,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40367E,dip-quality-status:,dip:0005(high throughput)
DIP-26496N|refseq:NP_501211,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40387E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26439N|refseq:NP_492708|uniprotkb:Q23312,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40399E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-25298N|refseq:NP_498174|uniprotkb:Q95QC2,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40425E,dip-quality-status:,dip:0005(high throughput)
DIP-25166N|refseq:NP_741278|uniprotkb:O18657,DIP-26036N|refseq:NP_509586|uniprotkb:P41941,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40439E,dip-quality-status:,dip:0005(high throughput)
DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40471E,dip-quality-status:,dip:0005(high throughput)
DIP-26892N|refseq:NP_501365|uniprotkb:Q17446,DIP-24454N|refseq:NP_491780|uniprotkb:O02161,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40427E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40364E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-27373N|refseq:NP_505262|uniprotkb:Q22886,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40365E,dip-quality-status:,dip:0005(high throughput)
DIP-24673N|refseq:NP_498711|uniprotkb:P34269,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40366E,dip-quality-status:,dip:0005(high throughput)
DIP-24457N|refseq:NP_505018|uniprotkb:Q8I7I0,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40368E,dip-quality-status:,dip:0005(high throughput)
DIP-26997N|refseq:NP_509325|uniprotkb:Q18838,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40369E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26126N,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40370E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26829N|refseq:NP_506577|uniprotkb:Q19750,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40372E,dip-quality-status:,dip:0005(high throughput)
DIP-27268N|refseq:NP_509922|uniprotkb:Q93637,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40373E,dip-quality-status:,dip:0005(high throughput)
DIP-24907N|refseq:NP_500797|uniprotkb:Q20303,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40375E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-24643N|refseq:NP_510454|uniprotkb:Q93703,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40376E,dip-quality-status:,dip:0005(high throughput)
DIP-27422N|refseq:NP_498166|uniprotkb:Q09566,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40377E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26844N|refseq:NP_509474|uniprotkb:Q20690,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40378E,dip-quality-status:,dip:0005(high throughput)
DIP-25911N|refseq:NP_509473|uniprotkb:Q20689,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40379E,dip-quality-status:,dip:0005(high throughput)
DIP-25424N|refseq:NP_494220|uniprotkb:Q9N4J6,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40380E,dip-quality-status:,dip:0005(high throughput)
DIP-27051N|refseq:NP_510278|uniprotkb:Q20742,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40381E,dip-quality-status:,dip:0005(high throughput)
DIP-27010N|refseq:NP_499983|uniprotkb:Q9BKP1,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40382E,dip-quality-status:,dip:0005(high throughput)
DIP-24728N|refseq:NP_505513|uniprotkb:Q20979,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40383E,dip-quality-status:,dip:0005(high throughput)
DIP-27016N|refseq:NP_505116,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40384E,dip-quality-status:,dip:0005(high throughput)
DIP-25582N|refseq:NP_502409|uniprotkb:Q21344,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40385E,dip-quality-status:,dip:0005(high throughput)
DIP-24935N|refseq:NP_505817|uniprotkb:P10983,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40389E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-24494N|refseq:NP_509829|uniprotkb:Q22631,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40390E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26777N|refseq:NP_499893|uniprotkb:O16783,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40391E,dip-quality-status:,dip:0005(high throughput)
DIP-27185N|refseq:NP_497207|uniprotkb:Q22685,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40392E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-25429N|refseq:NP_492976|uniprotkb:O45799,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40393E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-27200N|refseq:NP_499936|uniprotkb:Q9UAY0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40394E,dip-quality-status:,dip:0005(high throughput)
DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40395E,dip-quality-status:,dip:0005(high throughput)
DIP-27115N|refseq:NP_502737|uniprotkb:Q9TVQ2,DIP-24569N|refseq:NP_741617,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40396E,dip-quality-status:,dip:0005(high throughput)
DIP-24569N|refseq:NP_741617,DIP-26908N|refseq:NP_507646|uniprotkb:Q9U1U0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-40397E,dip-quality-status:,dip:0005(high throughput)
