Entry	Status	Organism	Subcellular location [CC]
O25488	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00101}.
O25730	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25283	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00823}.
P56418	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
P56464	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01217}.
O25686	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
P56109	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
P94851	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
O25836	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25681	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25046	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25827	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25067	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25595	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	
O25296	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00004}.
P56081	reviewed	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
