Entry	Status	Organism	Subcellular location [CC]
Q29836	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30501	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
P30508	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q29960	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: Isoform 2: Secreted.
Q29865	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q15173	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8703017}.
P30154	reviewed	Homo sapiens (Human)	
P63151	reviewed	Homo sapiens (Human)	
Q30167	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Lysosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Late endosome membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000269|PubMed:18305173}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.
P31937	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion.
A5X5Y0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17392525, ECO:0000269|PubMed:19012743}; Multi-pass membrane protein {ECO:0000269|PubMed:17392525, ECO:0000269|PubMed:19012743}. Note=Presumably retained within the endoplasmic reticulum unless complexed with HTR3A.
Q13639	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Endosome. Note=Interaction with SNX27 mediates recruitment to early endosomes, while interaction with SLC9A3R1 and EZR might target the protein to specialized subcellular regions, such as microvilli. {ECO:0000250}.
Q9BXI3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.
P49902	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.
P21589	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.
P56378	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P0DKL9	reviewed	Homo sapiens (Human)	
P05067	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Membrane, clathrin-coated pit. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. Gamma-CTF(59) peptide is located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65). Beta-APP42 associates with FRPL1 at the cell surface and the complex is then rapidly internalized. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body. Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions.
Q7RTV5	reviewed	Homo sapiens (Human)	
Q9H7C9	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Diffuse distribution with some highly concentrated spots around the nucleus. {ECO:0000250}.
P86434	reviewed	Homo sapiens (Human)	
P17174	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:1974457}.
Q9NY61	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.
P00505	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:9537447}. Cell membrane {ECO:0000269|PubMed:9537447}. Note=Exposure to alcohol promotes translocation to the cell membrane.
Q6NTF7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Cytoplasm, P-body. Note=Haplotype 1 is distributed in both the nucleus and cytoplasm, whereas haplotype 2 is predominantly cytoplasmic.
Q8WWZ7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Lysosome membrane; Multi-pass membrane protein. Late endosome membrane; Multi-pass membrane protein. Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8IUA7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q86UK0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q2M3G0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12960149}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:12960149}.
Q9UBJ2	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Peroxisome membrane; Multi-pass membrane protein.
Q05901	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q04844	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
O95573	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q7Z5R6	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Colocalizes with ENA/VASP proteins at lamellipodia tips and focal adhesions, and F-actin at the leading edge. At the membrane surface, associates, via the PH domain, preferentially with the inositol phosphates, PtdIns(5)P and PtdIns(3)P. This binding appears to be necessary for the efficient interaction of the RA domain to Ras-GTPases (By similarity). {ECO:0000250}.
Q9NRW3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus. Cytoplasm.
Q99758	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8N139	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9NRK6	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
O60706	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000255|PROSITE-ProRule:PRU00441}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
P33897	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Peroxisome membrane; Multi-pass membrane protein.
Q9NUQ8	reviewed	Homo sapiens (Human)	
Q8N2K0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q99LR1}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q99LR1}.
P42684	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q9P1F3	reviewed	Homo sapiens (Human)	
P11310	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion matrix.
Q8NC06	reviewed	Homo sapiens (Human)	
Q8TDN7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P12821	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Angiotensin-converting enzyme, soluble form: Secreted.; SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cytoplasm {ECO:0000250}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250}.
Q15822	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q15825	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q9UGM1	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:25282151}; Multi-pass membrane protein {ECO:0000305|PubMed:25282151}.
P07510	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q9UKV3	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus. Nucleus speckle. Nucleus, nucleoplasm. Note=Phosphorylation on Ser-1180 by SRPK2 redistributes it from the nuclear speckles to the nucleoplasm.
P21399	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.
P49753	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16940157}.
Q3I5F7	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16940157}.
Q9Y305	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
Q9NUZ1	reviewed	Homo sapiens (Human)	
Q6ZNF0	reviewed	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
