Entry	Status	Organism	Subcellular location [CC]
O18229	reviewed	Caenorhabditis elegans	
P48180	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000269|PubMed:15944127}; Multi-pass membrane protein {ECO:0000269|PubMed:15944127}. Cell membrane {ECO:0000269|PubMed:15944127}; Multi-pass membrane protein {ECO:0000269|PubMed:15944127}. Note=The cam-1 protein is required for correct localization.
Q20507	reviewed	Caenorhabditis elegans	
Q9XWZ2	reviewed	Caenorhabditis elegans	
G5EG88	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23950710, ECO:0000269|PubMed:24212673}; Multi-pass membrane protein {ECO:0000269|PubMed:24212673, ECO:0000305|PubMed:23950710}.
Q9N587	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:Q27218}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q27218}; Multi-pass membrane protein {ECO:0000255}.
Q09315	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
O76554	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11273652}; Multi-pass membrane protein {ECO:0000269|PubMed:11273652}. Note=Enriched in the sensory endings of sensory neurons.
Q23022	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000269|PubMed:15990870}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:15990870}; Multi-pass membrane protein {ECO:0000255}. Note=Co-localizes with unc-29 and lev-1 and partially with acr-12 and acr-8 at nerve cord synapses. {ECO:0000269|PubMed:15990870}.
Q23534	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P54246	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P45963	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P0DM41	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q8IG39	reviewed	Caenorhabditis elegans	
Q09305	reviewed	Caenorhabditis elegans	
Q20655	reviewed	Caenorhabditis elegans	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16777605, ECO:0000305|PubMed:21531333}. Nucleus {ECO:0000269|PubMed:16777605}.
P45894	reviewed	Caenorhabditis elegans	
Q09406	reviewed	Caenorhabditis elegans	
