Entry	Status	Organism	Subcellular location [CC]
Q8BG02	reviewed	Mus musculus (Mouse)	
P24815	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion membrane; Single-pass membrane protein.
P55194	reviewed	Mus musculus (Mouse)	
P28334	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1557407}; Multi-pass membrane protein {ECO:0000269|PubMed:1557407}.
P35363	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21645528}; Multi-pass membrane protein {ECO:0000305}. Cell projection, dendrite {ECO:0000269|PubMed:11960784}. Cell projection, axon {ECO:0000250|UniProtKB:P14842}. Cytoplasmic vesicle {ECO:0000269|PubMed:11960784}. Membrane, caveola {ECO:0000250|UniProtKB:P14842}. Note=Localizes to the postsynaptic thickening of axo-dendritic synapses.
Q02152	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1426253}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P41595}. Cell junction, synapse, synaptosome {ECO:0000269|PubMed:18337424}.
P23979	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P97288	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Endosome. Note=Interaction with SNX27 mediates recruitment to early endosomes, while interaction with SLC9A3R1 and EZR might target the protein to specialized subcellular regions, such as microvilli.
P32304	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9DCD0	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q61247	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Secreted.
Q9WVM8	reviewed	Mus musculus (Mouse)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.
