Entry	Status	Organism	Subcellular location [CC]
Q9V785	reviewed	Drosophila melanogaster (Fruit fly)	
Q9W197	reviewed	Drosophila melanogaster (Fruit fly)	
O46197	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9VVW1	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9VM95	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q9VP61	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Cytoplasm.
P42281	reviewed	Drosophila melanogaster (Fruit fly)	
Q10714	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted, extracellular space.
P17644	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P28286	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P13368	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P16375	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407}.
O46203	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9V3R1	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P05623	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:3135120}.
O46201	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P07140	reviewed	Drosophila melanogaster (Fruit fly)	SUBCELLULAR LOCATION: Cell junction, synapse. Cell membrane; Lipid-anchor, GPI-anchor. Note=Attached to the membrane of the neuronal cholinergic synapses by a GPI-anchor.
