Entry	Status	Organism	Subcellular location [CC]
P22283	reviewed	Rattus norvegicus (Rat)	
P22071	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion membrane; Single-pass membrane protein.
P28565	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19912901, ECO:0000269|PubMed:8978753}; Multi-pass membrane protein {ECO:0000269|PubMed:19912901, ECO:0000269|PubMed:8978753}.
P08909	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:3399891}; Multi-pass membrane protein {ECO:0000269|PubMed:3399891}.
Q9JJ16	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Note=Presumably retained within the endoplasmic reticulum unless complexed with HTR3A. {ECO:0000250}.
P35365	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P31388	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P32305	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P06238	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Secreted.
P29276	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q704E8	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q5RKI8	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q9QYJ4	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Note=May be located in membrane rafts. {ECO:0000250}.
O70127	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q4FZR5	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96AP0}. Chromosome, telomere {ECO:0000250|UniProtKB:Q96AP0}.
P25109	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
O89039	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21655198}; Multi-pass membrane protein {ECO:0000269|PubMed:21655198}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:21655198}. Early endosome {ECO:0000250}. Recycling endosome {ECO:0000250}. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via clathrin-coated pits in a beta-arrestin -dependent manner. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane (By similarity). {ECO:0000250}.
Q91ZF7	reviewed	Rattus norvegicus (Rat)	
A2VCW9	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9UDR5}.
Q5XIJ5	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8CF82	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:16162093}; Multi-pass membrane protein {ECO:0000269|PubMed:16162093}. Late endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:16162093}; Multi-pass membrane protein {ECO:0000269|PubMed:16162093}.
O70595	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}. Endoplasmic reticulum {ECO:0000250}. Golgi apparatus {ECO:0000250}.
P11497	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Cytoplasm.
P15651	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Mitochondrion matrix.
P11030	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:P07108}. Golgi apparatus {ECO:0000250|UniProtKB:P07108}. Note=Golgi localization is dependent on ligand binding. {ECO:0000250|UniProtKB:P07108}.
P70584	reviewed	Rattus norvegicus (Rat)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:6874697}.
