Entry	Status	Organism	Subcellular location [CC]
Q32PI5	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Chromosome, centromere {ECO:0000250|UniProtKB:P30153}. Cytoplasm {ECO:0000269|PubMed:12912990}. Lateral cell membrane {ECO:0000250|UniProtKB:P30153}. Cell projection, dendrite {ECO:0000250|UniProtKB:P30153}. Note=Centromeric localization requires the presence of BUB1. {ECO:0000250|UniProtKB:P30153}.
Q5E9Q7	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Membrane {ECO:0000250}.
Q28053	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q58DD0	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Processed angiotensin-converting enzyme 2: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250}.
Q9GLX0	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Early endosome {ECO:0000250}. Recycling endosome {ECO:0000250}. Membrane; Multi-pass membrane protein. Note=Predominantly localizes to endocytic vesicles, and upon stimulation by the ligand is internalized via caveolae. Once internalized, the ligand dissociates from the receptor, and is targeted to degradation while the receptor is recycled back to the cell membrane (By similarity). {ECO:0000250}.
Q9BEA2	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:10561077, ECO:0000269|PubMed:11382754}.
Q2KJA2	reviewed	Bos taurus (Bovine)	
Q3ZBN0	reviewed	Bos taurus (Bovine)	
Q3SZB4	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
P04758	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P04759	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q32KZ2	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9QY84}. Golgi apparatus {ECO:0000250|UniProtKB:Q9QY84}. Cytoplasm {ECO:0000250|UniProtKB:Q9QY84}. Nucleus {ECO:0000250|UniProtKB:Q9QY84}. Note=Detected at the Golgi apparatus during acrosome biogenesis. Detected at the subacrosomal layer in round spermatids. Detected in sperm head and tail. {ECO:0000250|UniProtKB:Q9QY84}.
P80227	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm.
Q2T9W4	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
A4FV68	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12912990}.
O46411	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q07263	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
Q8SPU7	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q17R13	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O54967}. Nucleus {ECO:0000250}. Endosome {ECO:0000250}. Cell junction, adherens junction {ECO:0000250}. Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000250}. Membrane, clathrin-coated pit {ECO:0000250}. Note=The Tyr-284 phosphorylated form is found both in the membrane and nucleus. Co-localizes with EGFR on the endosomes. Nuclear translocation is CDC42-dependent (By similarity). {ECO:0000250}.
P41984	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P62739	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
P60712	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250}.
P68138	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
P68509	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm.
P14893	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion membrane; Single-pass membrane protein.
Q2TBQ8	reviewed	Bos taurus (Bovine)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
